epoch	train_loss	val_loss	train_subclass_acc	val_subclass_acc	train_group_acc	val_group_acc	train_qc_recall	val_qc_recall	train_qc_precision	val_qc_precision	train_qc_f1	val_qc_f1
1	1.36870006	1.28906741	34.69587966	33.88530591	52.15210850	49.71239324	37.95208302	47.43746187	30.84268618	32.32848233	34.03003455	38.45202770
2	1.26119234	1.33240470	36.96533682	35.65452327	53.95029431	53.01551333	38.93636502	37.33984137	31.81223116	34.20905534	35.01561053	35.70595099
3	1.23571169	1.22961628	37.79594506	38.17326129	55.06649226	47.96932195	37.87578208	62.50762660	32.41901776	31.38306019	34.93560419	41.78647905
4	1.21813388	1.21227850	38.60693264	37.91180059	55.68563331	56.98100052	38.79139325	24.31360586	33.07311996	31.63953950	35.70475455	27.49698120
5	1.19987480	1.17177883	39.22825376	39.69844867	56.08894702	61.14694091	38.28780711	13.75838926	33.24720069	32.58670520	35.58991454	19.34791935
6	1.18641392	1.16908108	39.87791585	40.77043751	56.76695008	63.22119575	38.05890432	5.33862111	34.07336567	35.00000000	35.95602811	9.26416093
7	1.17691744	1.14986969	40.63658164	41.76398815	57.18116416	51.24629597	36.70074775	67.41915802	33.68819162	33.17820147	35.13000292	44.47127478
8	1.16493814	1.19231392	41.09221714	41.65068851	57.56703728	57.99198187	38.11231497	47.49847468	34.50062163	39.09113733	36.21664733	42.88665473
9	1.15248031	1.08642005	41.73315893	45.20655395	59.13669065	65.60920342	33.96917442	12.17205613	35.31091371	36.94444444	34.62705141	18.31115190
10	1.14164563	1.10170438	42.16263353	44.28272616	59.10180946	57.59979083	34.29726843	52.65405735	35.01596946	37.54622580	34.65289288	43.83492063
11	1.13062021	1.08859627	42.94310007	44.99738539	59.39175932	62.17535297	35.21287960	32.79438682	35.47271330	38.08005668	35.34231888	35.24012457
12	1.11649676	1.07276412	43.79114890	45.11068503	61.13363854	61.30381733	33.67160079	35.26540574	37.02491820	34.80879253	35.26873127	35.03561146
13	1.10300106	1.05364821	44.57815566	47.19365522	61.23828210	64.73766777	37.44849687	28.00488103	37.67270494	43.26107446	37.56026632	34.00000000
14	1.08623361	1.04042261	45.41530412	49.30277148	61.95116634	67.26512114	39.08133679	14.85661989	38.53735611	45.26022305	38.80744024	22.37023427
15	1.06949631	1.05559615	46.64704600	48.85828830	63.42925659	66.82935332	37.83000153	20.25625381	40.41737996	42.97734628	39.08091278	27.53472942
16	1.05437615	1.02877838	47.66950076	49.57294753	64.32090691	68.25867178	37.95208302	14.18547895	41.81588903	48.99894626	39.79040838	22.00141945
17	1.03497278	0.96660915	48.55025071	52.37929231	64.26422498	70.15861949	39.60018312	15.98535692	41.71019851	54.07636739	40.62781322	24.67624205
18	1.01727678	0.95161939	49.38739917	52.43158445	65.17113582	70.57695660	38.66931177	14.91763270	42.51677852	59.92647059	40.50187805	23.88861749
