epoch	train_loss	val_loss	train_acc	val_acc
1.000000	1.431037	0.995938	0.374023	0.675781
2.000000	1.236066	1.036709	0.499512	0.605957
3.000000	1.195437	1.480516	0.512695	0.432129
4.000000	1.170527	0.871944	0.528564	0.707031
5.000000	1.150933	0.729791	0.538330	0.768555
6.000000	1.164730	0.788321	0.531372	0.720703
7.000000	1.176357	0.715956	0.526611	0.777344
8.000000	1.142448	1.499086	0.551880	0.339844
9.000000	1.139126	1.385315	0.547974	0.510254
10.000000	1.136198	0.732354	0.543823	0.779785
11.000000	1.126874	0.641324	0.553467	0.828125
12.000000	1.120310	0.784644	0.560181	0.749023
13.000000	1.123576	0.853163	0.555908	0.696289
14.000000	1.115990	0.780019	0.555542	0.731445
15.000000	1.111031	0.930990	0.561646	0.635254
16.000000	1.117584	0.711659	0.556152	0.766113
17.000000	1.118535	0.830317	0.550659	0.681152
18.000000	1.121606	0.623509	0.552612	0.830566
19.000000	1.117934	0.669978	0.551025	0.801270
20.000000	1.087984	0.697905	0.571167	0.786621
21.000000	1.098434	0.597677	0.566040	0.854004
22.000000	1.106632	0.648075	0.557129	0.809570
23.000000	1.106058	0.809515	0.561035	0.714844
24.000000	1.085978	0.732033	0.571777	0.748535
25.000000	1.087148	0.601442	0.572876	0.838379
26.000000	1.095467	0.855193	0.568481	0.696289
27.000000	1.093850	0.617847	0.565186	0.819336
28.000000	1.080104	0.562646	0.580322	0.856934
29.000000	1.076132	0.576109	0.579834	0.853027
30.000000	1.072558	0.679983	0.578003	0.787109
31.000000	1.081182	0.709757	0.577271	0.797852
32.000000	1.079654	0.663982	0.575195	0.792969
33.000000	1.077169	0.731119	0.583496	0.759766
34.000000	1.075114	0.747031	0.580566	0.759277
35.000000	1.074581	0.649115	0.580078	0.806152
36.000000	1.069023	0.567969	0.579834	0.852051
37.000000	1.066973	0.891190	0.579834	0.690918
38.000000	1.078324	0.576112	0.578735	0.847168
39.000000	1.056653	0.571830	0.586182	0.851562
40.000000	1.050770	0.533956	0.596924	0.877930
41.000000	1.073798	0.886819	0.583618	0.687012
42.000000	1.048592	1.171932	0.593750	0.563477
43.000000	1.057164	0.651322	0.583374	0.791992
44.000000	1.065554	0.588499	0.583740	0.846680
45.000000	1.054140	0.538135	0.593262	0.877441
46.000000	1.055001	0.548925	0.585693	0.861816
47.000000	1.060351	0.677136	0.581909	0.786133
48.000000	1.043799	0.695141	0.598267	0.785156
49.000000	1.046246	0.605121	0.591675	0.822266
50.000000	1.021444	0.567416	0.603394	0.849121
51.000000	1.049705	0.740321	0.593384	0.750000
52.000000	1.035938	0.541789	0.596558	0.868164
53.000000	1.051411	0.589796	0.582153	0.843750
54.000000	1.038090	0.569706	0.594727	0.853027
55.000000	1.032932	0.554896	0.599365	0.849121
56.000000	1.039329	0.730622	0.595947	0.770020
57.000000	1.025473	0.501637	0.601440	0.885254
58.000000	1.034909	0.522024	0.599365	0.872559
59.000000	1.025581	0.515556	0.600708	0.879395
60.000000	1.024524	0.526880	0.602051	0.873535
61.000000	1.028925	0.577116	0.604614	0.846680
62.000000	1.017115	0.516720	0.613892	0.878906
63.000000	1.026387	0.514644	0.609009	0.878906
64.000000	1.024673	0.505747	0.609741	0.886719
65.000000	1.027534	0.508531	0.602173	0.877930
66.000000	1.020432	0.483735	0.606812	0.896973
67.000000	1.019849	0.506598	0.604248	0.871094
68.000000	1.012941	0.492294	0.606079	0.894043
69.000000	1.021471	0.504902	0.598145	0.881348
70.000000	1.006140	0.512865	0.611938	0.882812
