epoch	train_loss	val_loss
1	0.29157143	-0.81767185
2	-0.94402800	-1.37929379
3	-1.40984179	-1.64956101
4	-1.74776280	-1.96600672
5	-2.02282520	-1.79974353
6	-2.18019279	-2.43294883
7	-2.35460177	-2.42579875
8	-2.48157886	-2.71324495
9	-2.57988553	-2.74464960
10	-2.65559829	-3.00151602
11	-2.73266965	-2.99705872
12	-2.81936380	-2.55720233
13	-2.84051149	-3.20820636
14	-2.90524005	-2.83707013
15	-2.98564362	-3.08423721
16	-3.04779142	-3.07481687
17	-3.07429134	-2.71222898
18	-3.13420124	-3.17972223
19	-3.19120430	-3.62802414
20	-3.20802755	-2.93554342
21	-3.24801453	-3.61876710
22	-3.28786151	-3.55048117
23	-3.28856417	-3.56982240
24	-3.33072991	-3.57709921
25	-3.37175025	-3.40159933
26	-3.37933564	-3.57466740
27	-3.43556112	-3.35299439
28	-3.45165701	-3.67930300
29	-3.47680299	-3.69202326
30	-3.50298444	-3.63206415
31	-3.51114399	-3.71818647
32	-3.53853517	-3.64537923
33	-3.55928240	-3.72542091
34	-3.57998344	-3.66554035
35	-3.58330643	-3.66236537
36	-3.60963241	-3.65156038
37	-3.65032995	-3.67969998
38	-3.64185057	-3.85235088
39	-3.71067368	-4.01653986
40	-3.70358349	-3.64984378
41	-3.71312498	-3.78018297
42	-3.72788525	-4.00193677
43	-3.75932099	-3.78707261
44	-3.75790853	-3.70244032
45	-3.78378109	-3.81689054
46	-3.79267832	-4.04138348
47	-3.80939061	-4.00091981
48	-3.81940162	-4.17687247
49	-3.83139658	-3.93392435
50	-3.85650127	-3.94046817
51	-3.87861174	-3.93841770
52	-3.88571332	-4.27374507
53	-3.91491753	-4.13727443
54	-3.90700482	-3.91644888
55	-3.91656549	-4.11594687
56	-3.94607066	-3.76240079
57	-3.94767974	-4.22068476
58	-3.95290381	-4.28402277
59	-3.97024775	-4.17224793
60	-3.94910016	-4.03571616
61	-3.99221380	-4.25545832
62	-4.00222883	-4.38007381
63	-4.00967676	-4.38339400
64	-4.03237050	-4.07858349
65	-4.03251219	-4.19379890
66	-4.05474475	-4.00496131
67	-4.05791574	-4.33889300
68	-4.08201152	-4.37320703
69	-4.07889818	-4.26771225
70	-4.09117076	-4.20203689
71	-4.10365398	-4.25905772
72	-4.11878544	-4.34242731
73	-4.12344011	-4.44353427
74	-4.13826561	-4.35082165
75	-4.13548766	-4.21065016
76	-4.15636235	-4.30267070
77	-4.18170936	-4.49934161
78	-4.17439002	-4.26796602
79	-4.17604529	-4.38283497
80	-4.20958525	-4.35383491
81	-4.21324705	-4.36931872
82	-4.21568287	-4.45530874
83	-4.22588612	-4.47631639
84	-4.25018085	-4.31647183
85	-4.26132498	-4.19219064
86	-4.26409260	-4.38038441
87	-4.27630647	-4.64839973
88	-4.29206292	-4.31691337
89	-4.30082851	-4.31439833
90	-4.31398655	-4.57807324
91	-4.31638686	-4.49103840
92	-4.32594184	-4.55934181
93	-4.33960207	-4.47627703
94	-4.34879199	-4.56735492
95	-4.35405848	-4.62165890
96	-4.37299412	-4.40358369
97	-4.40078563	-4.62550694
98	-4.37781961	-4.52626741
99	-4.41836187	-4.64224917
100	-4.40640341	-4.73168045
101	-4.42393672	-4.58941734
102	-4.42543929	-4.73786561
103	-4.43077710	-4.48261525
104	-4.46197619	-4.63040626
105	-4.46760690	-4.69907117
106	-4.49343922	-4.70019724
107	-4.48725222	-4.70947059
108	-4.50286729	-4.76560762
109	-4.50012669	-4.67014060
110	-4.51993945	-4.76985596
111	-4.52400559	-4.58021512
112	-4.52782449	-4.73627015
113	-4.55043381	-4.63003884
114	-4.55956689	-4.79814597
115	-4.57089117	-4.80259663
116	-4.58030275	-4.60134790
117	-4.59682899	-4.66610420
118	-4.59964644	-4.61816031
119	-4.63249334	-4.74632988
120	-4.61021132	-4.97906448
121	-4.64614911	-4.70696598
122	-4.64947234	-4.87060748
123	-4.65457076	-4.90123349
124	-4.66235723	-4.81671220
125	-4.67963997	-5.01318604
126	-4.68593949	-4.54067381
127	-4.69785603	-4.78919576
128	-4.70825014	-4.79920838
129	-4.72455894	-5.04050952
130	-4.73165752	-4.66878567
131	-4.72881774	-4.79153234
132	-4.74530789	-4.86644598
133	-4.75176987	-5.00007500
134	-4.77292603	-5.08014333
135	-4.77661222	-4.88373244
136	-4.79053986	-4.96982042
137	-4.79218627	-4.81603201
138	-4.79597645	-5.00442505
139	-4.81707526	-5.01222229
140	-4.80947734	-5.03819456
141	-4.83995637	-5.03430243
142	-4.85172547	-5.12316145
143	-4.85931556	-5.02102943
144	-4.87145785	-5.07769394
145	-4.86259695	-5.03708003
146	-4.87365400	-4.97844183
147	-4.89093520	-5.02640732
148	-4.89443563	-5.06344070
149	-4.90941316	-4.97442174
150	-4.92906501	-5.08251894
151	-4.92320527	-5.04756657
152	-4.92663069	-5.16953204
153	-4.94072585	-5.15649800
154	-4.95545255	-5.11960344
155	-4.96438320	-5.23974905
156	-4.96376860	-5.10811158
157	-4.98950284	-5.08189782
158	-4.98447067	-5.15140774
159	-4.99477776	-5.17883937
160	-5.00260953	-5.14271589
161	-5.01462320	-5.20160904
162	-5.02121526	-5.17977301
163	-5.03230348	-5.11071799
164	-5.04120646	-5.22489880
165	-5.04461069	-5.22872245
166	-5.05933104	-5.16781338
167	-5.05697901	-5.20131910
168	-5.07371722	-5.19783310
169	-5.07165534	-5.23303644
170	-5.07942649	-5.30243417
171	-5.08843311	-5.24787561
172	-5.08924555	-5.22329972
173	-5.09602719	-5.28215146
174	-5.10007066	-5.31181085
175	-5.11176496	-5.29085718
176	-5.11939180	-5.27027567
177	-5.12370726	-5.30382820
178	-5.12234336	-5.28745768
179	-5.13479596	-5.34158136
180	-5.13444547	-5.35861893
181	-5.13967848	-5.31784004
182	-5.14373612	-5.29322906
183	-5.14936556	-5.31369567
184	-5.15992645	-5.31628136
185	-5.15366071	-5.25257637
186	-5.16171503	-5.33882193
187	-5.16100017	-5.25433632
188	-5.16839493	-5.32615825
189	-5.17150700	-5.24898318
190	-5.17639858	-5.32006828
191	-5.16290804	-5.32578291
192	-5.17718831	-5.31800290
193	-5.16663650	-5.32827650
194	-5.17804940	-5.35278567
195	-5.19057407	-5.27876908
196	-5.18315712	-5.31169216
197	-5.18485845	-5.38547403
198	-5.18282875	-5.29114848
199	-5.17933339	-5.32836127
200	-5.18649371	-5.34233310
